J1	-50.29	-77.83	-50.16	-65.63	-52.71	-77.80	-52.58	-65.61
J0	-49.29	-97.63	-49.59	-85.43	-51.71	-97.69	-52.01	-85.49
K9	-67.83	83.42	-68.13	95.62	-70.25	83.36	-70.55	95.56
K8	-68.34	61.65	-68.60	73.85	-70.76	61.60	-71.01	73.80
K7	-67.74	42.94	-67.85	55.14	-70.16	42.92	-70.27	55.12
K6	-67.42	19.42	-67.48	31.62	-69.84	19.41	-69.90	31.61
K5	-66.42	-3.05	-66.74	9.15	-68.84	-3.11	-69.16	9.08
K4	-66.32	-23.84	-66.04	-11.64	-68.74	-23.79	-68.46	-11.59
K3	-66.31	-43.22	-66.37	-31.02	-68.73	-43.23	-68.79	-31.03
K2	-65.90	-60.75	-66.09	-48.55	-68.32	-60.79	-68.51	-48.59
K1	-65.41	-77.96	-65.45	-65.76	-67.83	-77.97	-67.87	-65.77
K0	-64.13	-98.21	-64.19	-86.01	-66.55	-98.22	-66.61	-86.02
L9	-83.44	82.92	-83.16	95.12	-85.86	82.97	-85.58	95.17
L8	-84.16	61.09	-84.10	73.29	-86.58	61.10	-86.52	73.30
L7	-83.80	42.86	-84.14	55.06	-86.22	42.79	-86.56	54.99
L6	-83.67	19.37	-83.54	31.57	-86.09	19.40	-85.96	31.59
L5	-83.13	-3.37	-82.98	8.83	-85.55	-3.34	-85.40	8.86
L4	-82.24	-24.13	-82.26	-11.93	-84.66	-24.13	-84.68	-11.93
L3	-82.05	-43.42	-81.90	-31.22	-84.47	-43.39	-84.32	-31.19
L2	-81.59	-61.19	-81.76	-48.99	-84.01	-61.22	-84.18	-49.02
L1	-81.40	-78.95	-81.46	-66.75	-83.82	-78.96	-83.88	-66.76
L0	-81.07	-98.90	-81.09	-86.70	-83.49	-98.90	-83.51	-86.70
